test_name	included_in_unit_basic	category	rule_kind	rule_pattern	rationale
acp::tests::apply_set_config_option_applies_thinking_level	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::apply_set_model_rejects_unknown_model	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::apply_set_model_switches_provider_and_model	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::classify_tool_kind_maps_common_names	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::extract_prompt_text_appends_resource_link_uri	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::extract_prompt_text_concatenates_text_blocks	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::extract_prompt_text_rejects_block_without_type_discriminator	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::extract_prompt_text_rejects_text_block_without_text_field	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::extract_prompt_text_rejects_unsupported_block_type	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::handle_initialize_returns_correct_shape	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::json_rpc_error_response_format	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::json_rpc_notification_format	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::json_rpc_ok_response_format	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::map_stop_reason_covers_acp_values	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::new_acp_session_in_memory_without_session_dir	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::new_acp_session_persists_with_session_dir	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::parse_config_option_accepts_numeric_value	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::parse_config_option_accepts_thinking_aliases	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::parse_config_option_rejects_bad_thinking_value	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::parse_config_option_rejects_unknown_option	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
acp::tests::permission_request_client_disconnect_fail_closed	yes	unit_basic_fast_deterministic	prefix	acp::tests	ACP protocol parsing and deterministic permission/client behavior.
